"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Austria","AUT","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37731.8294726858","38454.5227278109","38752.3479713428","38664.3508551545","39360.9523463183","40206.0106230935","41234.9811098854","41875.0344723183","43262.438307693","44265.3467154591","45989.9993733475","46158.4607885222","47069.3801048208","47441.4765291905","48493.8555020192","49208.6710169079","50886.3809790676","52434.5105652074","53533.6017389493","50933.5943429556","52201.9028000488","53279.1418178453","53272.516917852","53061.2216273364","52924.4793561042","52276.5357037303","53263.5254799047","53662.0053472849","54796.26129827","56107.2302261068","",
"Azerbaijan","AZE","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13513.3972681154","","","",
"Burundi","BDI","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","828.986441781543","862.689341608919","838.897067611592","840.888229049226","815.394915777932","826.949661496413","787.954430149135","794.612345719288","786.220727190147","809.552923473663","812.506979542574","825.733743069779","823.743775258968","841.740014911119","846.029433285245","860.477909364862","878.118717127568","884.172208963","824.869621938845","794.520466679597","772.402288911951","763.43317177845","753.908943635036","735.737104418626",
"Belgium","BEL","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35669.9526134724","36320.9932063397","36721.2365968664","36580.3988423451","37919.9591243917","38650.4394470784","39132.4300088471","40560.2472768524","41268.3407416151","42582.8301151838","44155.625753088","44174.2041989993","44666.165385128","45020.7662286707","46178.4658364982","46922.0739154544","47890.0309265623","49264.6567760328","49580.2463313492","47941.5137416769","48699.4903082851","48222.5158211971","49306.8092376519","49371.9435326415","49755.3253088478","50147.6062642967","50302.2752857974","50897.9339835834","51599.1058459612","52380.1376815575","",
"Benin","BEN","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2133.21015054041","2158.40285898237","2103.08944359246","2189.50704174237","2150.32469474704","2209.39779543992","2234.51119802629","2306.68293907617","2345.93744282081","2404.36265746514","2469.91731989306","2523.01868618313","2554.02899546439","2561.77492148378","2598.74273090368","2574.88728427386","2595.96892321115","2669.77975973383","2735.15227393918","2715.07822204759","2689.8955949954","2704.03013567636","2743.55706054381","2861.12059064635","2962.29650144501","2922.0653467561","2935.4515495996","3010.90285432277","3128.72480402663","3254.24562701661","3288.47060472744",
"Burkina Faso","BFA","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1015.88312969619","1078.16066913115","1051.25966845953","1056.09340113732","1039.96217056415","1072.98510241052","1166.44648982543","1201.9659743374","1254.00768618063","1311.95418997683","1296.3471566514","1339.95865457839","1351.33494417797","1412.41723402774","1437.37735793192","1513.46538056944","1571.94242801521","1587.8686364715","1628.4869876437","1613.55002290905","1667.85581423773","1705.3098649451","1788.74893370518","1834.82779322382","1827.30021995155","1839.21686964761","1893.09996865437","1967.63405157785","2026.52374152586","2081.91885680991","",
"Bangladesh","BGD","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1554.41104976546","1571.9508099869","1624.9531398324","1669.134670846","1704.70321437748","1752.20172200035","1784.55263177905","1828.57638096397","1883.76646199105","1935.79636397457","2002.46676749641","2060.79615746513","2119.63904570298","2182.32149073056","2267.95035297639","2383.03107338903","2538.2349649716","2702.96627107222","2862.59952403876","2979.60677002843","3116.66320080502","3273.90473965816","3462.22018641842","3614.37272383333","3742.51657264725","3936.27658843505","4142.9029114287","4339.48984340524","4642.81966423773","4976.21029434329","",
"Bulgaria","BGR","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11197.8626704162","10205.2335822141","10329.6146521654","10252.5406977357","10457.2551644485","10724.7196629792","11245.5464171876","9744.70098113607","10338.6531371116","9577.66713525349","9984.4420090527","10826.5442019147","11925.088859461","12589.2844127895","13448.1446626171","14400.8618499634","15098.8941668864","15434.4982323908","16920.4846882629","16699.6021579973","17092.2336414536","17410.029865283","17905.5859288307","17908.7827738384","18597.0322716117","19018.3051992657","19871.9834516353","20867.6996241686","21502.3099878053","22810.60442664","21824.7004070812",
"Bahrain","BHR","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48245.6097304971","46688.0411775093","45252.0311041504","45686.4089858798","45911.5773421755","46319.9810238853","45894.2876166863","46240.6032434569","44570.1907457735","40302.7409741947","40338.6077375535","37755.9960462778","43372.15056344","44935.8179958464","45615.5824721947","45441.1476166908","45331.7907055298","45033.8305423578","43630.7788419881","42524.8505261095","",
"Bahamas, The","BHS","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36312.8598863812","34112.5075639273","33095.7139170936","32148.8185110971","32570.4906225548","38699.7904640687","42583.6687902323","36703.6993752034","34513.1929466395","38779.1633128414","39812.453807565","39984.8007119346","40464.3543077501","39431.3129235921","39160.4880113966","39604.2015048709","39751.7161618931","39526.7942413483","38598.7808976759","36053.9596464522","35840.8758618122","35676.4358491959","36663.2887052431","35584.012204962","34294.8478334034","34186.0455090304","34237.0873887286","35250.2825477071","35017.50856277","35802.1612595297","",
